Middle,Region,Site,Unit,Batch,Species,Start Fish Density,End Fish Density,Hatchery,Lot Quality,Origin Year,Origin Month,From,To,Start Av. Wt.,End Av.Wt.,Model End Av. Wt. Act. Feed,Av. Wt. Deviation (%),Av. Wt. Before Sampl.,Model End Av. Wt. Sugg. Feed,Actual Feed,Feed Category,Supplier,Period Feed Qty,Model Feed Qty,Feed Deviation (%),Opening Fish No,Opening Biomass,Closing Fish No,Closing Biomass,Harvest Biomass,Transfer - (Kg),Transfer + (Kg),Biomass Produced,Biomass Produced Before Sampl.,Econ. FCR Period,Econ FCR Period Before Sampl.,Mortality No,Model Mortality No,Mortality Deviation (%),SFR Period (%),SFR Period (%) Before Sampl.,SGR Period (%),Max Feed Qty,Food Price,Current Grading,Feeding Policy,Group Tag,Vaccinated,Feeder,Feeding Rate (Kg / Hour),Fastings No,Avg. Temp.,Avg. Oxygene,Transfer - (No),Transfer + (No),Harvest (No),Sampling (No),LTD Mortality No,LTD Mortality %,LTD Econ. FCR,Period Day Degrees,Start Av. Weight Category,End Av. Weight Category
1397556000006,REGION1,SITE2,119_53,119_TS_0812_101,TSIPOURA,10.38,10.79,KASTELLA,,2013,December,3/31/2014,4/30/2014,331.58,346.63,349.08,-0.7,331.87,331.58,"COLORLINE 5,0 mm",COLOR LINE,FEEDUS,2810,0,0,75542,25048.21636,75092,26029.13996,0,0,0,980.9236,-127.43432,2.864647155,-22.05057476,450,0,0,0.37,0.37,0.15,2810,0,A,TSIPOURA 2014,,Unchecked,,0,0,15.27,0,0,0,0,2,1810,2.353644899,-7.195369032,413,300-380,300-380
1397556000007,REGION1,SITE2,119_54,119_TS_0812_101,TSIPOURA,8.01,8.74,KASTELLA,,2013,December,3/31/2014,4/30/2014,361.57,396.77,376.01,5.52,361.57,361.57,"COLORLINE 5,0 mm",COLOR LINE,FEEDUS,1850,0,0,53425,19316.87725,53125,21078.40625,0,0,0,1761.529,-108.471,1.050223982,-17.05524979,300,0,0,0.31,0.32,0.31,1850,0,,TSIPOURA 2014,,Unchecked,,0,0,15.27,0,0,0,0,2,1570,2.066224468,-8.101890855,398,300-380,380-500
1397556000008,REGION1,SITE2,119_56,119_TS_0812_101,TSIPOURA,,9.49,KASTELLA,,2013,December,3/31/2014,4/30/2014,307.91,322.93,325.58,-0.81,307.91,307.91,"SILVERLINE 5,0 mm",SILVER LINE,FEEDUS,2750,0,0,73209,22541.78319,72759,23496.06387,0,0,0,954.28068,-138.5595,2.881751729,-19.84706931,450,0,0,0.4,0.41,0.16,2240,0,V,TSIPOURA 2014,,Unchecked,,0,0,15.27,0,0,0,0,2,1810,2.427282115,-3.999347439,398,300-380,300-380
1397556000009,REGION1,SITE2,119_57,119_TS_0812_101,TSIPOURA,,10.11,KASTELLA,,2013,December,3/31/2014,4/30/2014,289.99,313.63,308.64,1.62,289.99,289.99,"SILVERLINE 5,0 mm",SILVER LINE,FEEDUS,2745,0,0,71751,20807.07249,71301,22362.13263,0,0,0,1555.06014,-130.4955,1.765205042,-21.03520811,450,0,0,0.42,0.44,0.26,2590,0,V,TSIPOURA 2014,,Unchecked,,0,0,15.27,0,0,0,0,2,1810,2.475687653,-6.554411791,398,250-300,300-380
1397556000010,REGION1,SITE2,119_58,119_TS_0812_101,TSIPOURA,8.37,8.85,KASTELLA,,2013,December,3/31/2014,4/30/2014,267.09,284.42,285.89,-0.51,267.09,267.09,"SILVERLINE 5,0 mm",SILVER LINE,FEEDUS,2595,0,0,69274,18502.39266,68824,19574.92208,0,0,0,1072.52942,-120.1905,2.419514049,-21.59072472,450,0,0,0.45,0.47,0.21,2360,0,G,TSIPOURA 2014,,Unchecked,,0,0,15.27,0,0,0,0,2,1808,2.559746291,9.436769567,398,250-300,250-300
1397556000011,REGION1,SITE2,119_59,119_TS_0613_105,TSIPOURA,4.04,4.46,CHILIADOU,,2013,December,3/31/2014,4/30/2014,124.21,137.73,138.13,-0.29,124.42,124.21,BL 3.5 BREAM,VLUE LINE,FEEDUS,1925,0,0,78380,9735.5798,78055,10750.51515,0,0,0,1014.93535,-23.9767,1.896672532,-80.28627793,325,0,0,0.63,0.66,0.34,1675,0,V,TSIPOURA 2015,,Unchecked,,0,0,15.27,0,0,0,0,2,1165,1.470588235,1.937163377,458,100-150,100-150
1397556000012,REGION1,SITE2,119_60,119_TS_0812_101,TSIPOURA,9.72,10.08,KASTELLA,,2013,December,3/31/2014,4/30/2014,314.9,328.48,330.56,-0.63,314.9,314.9,"SILVERLINE 5,0 mm",SILVER LINE,FEEDUS,2480,0,0,74480,23453.752,74030,24317.3744,0,0,0,863.6224,-141.705,2.871625377,-17.50114675,450,0,0,0.35,0.35,0.14,2205,0,V,TSIPOURA 2014,,Unchecked,,0,0,15.27,0,0,0,0,2,1810,2.386603376,-6.399377037,398,300-380,300-380
1397556000013,REGION1,SITE2,119_A1,119_TS_0413_102,TSIPOURA,4.46,4.79,CHILIADOU,,2013,December,3/31/2014,4/30/2014,131.32,141.8,148.29,-4.38,131.69,131.32,BL 3.5 BREAM,VLUE LINE,FEEDUS,1295,0,0,45074,5919.11768,44874,6363.1332,0,0,0,444.01552,-9.66062,2.916564718,-134.0493674,200,0,0,0.7,0.73,0.26,880,0,V,TSIPOURA 2014,,Unchecked,,0,0,15.27,0,0,0,0,2,668,1.466777919,3.23293144,458,100-150,100-150
1397556000014,REGION1,SITE2,119_A2,119_TS_0413_102,TSIPOURA,7.75,8.23,CHILIADOU,,2013,December,3/31/2014,4/30/2014,175.12,186.67,195.34,-4.44,175.58,175.12,"BLUELINE 5,0 mm",VLUE LINE,FEEDUS,1680,0,0,44830,7850.6296,44630,8331.0821,0,0,0,480.4525,-14.4942,3.496703628,-115.9084323,200,0,0,0.69,0.71,0.21,940,0,A,TSIPOURA 2015,,Unchecked,,0,0,15.27,0,0,0,0,2,680,1.500772456,2.959298652,443,150-200,150-200
1397556000015,REGION1,SITE2,119_A4,119_TS_0513_104,TSIPOURA,6.65,7.53,KASTELLA,,2013,December,3/31/2014,4/30/2014,200.14,214.09,226.7,-5.56,200.38,200.14,"SILVERLINE 5,0 mm",SILVER LINE,FEEDUS,2095,0,0,41135,8232.7589,43535,9320.40815,0,0,0,1087.64925,490.7844,1.926172431,4.268676837,100,0,0,0.8,0.82,0.22,1895,0,A,TSIPOURA 2014,,Unchecked,,0,0,15.27,0,0,0,0,2,555,1.334455398,2.312010774,458,200-250,200-250
1397556000016,REGION1,SITE2,119_A5,119_TS_0613_105,TSIPOURA,4.35,4.85,CHILIADOU,,2013,December,3/31/2014,4/30/2014,130.75,146.33,146.75,-0.29,131.12,130.75,BL 3.5 BREAM,VLUE LINE,FEEDUS,1245,0,0,44158,5773.6585,43958,6432.37414,0,0,0,658.71564,-9.88554,1.890041657,-125.9415267,200,0,0,0.68,0.72,0.38,870,0,V,TSIPOURA 2015,,Unchecked,,0,0,15.27,0,0,0,0,2,728,1.629145594,2.384794046,458,100-150,100-150
1397556000017,REGION1,SITE2,119_A6,119_TS_0413_102,TSIPOURA,5.12,5.55,CHILIADOU,,2013,December,3/31/2014,4/30/2014,169.75,185,189.74,-2.5,170.21,169.75,"SILVERLINE 5,0 mm",SILVER LINE,FEEDUS,1485,0,0,40015,6792.54625,39850,7372.25,0,0,0,579.70375,-9.67775,2.561653258,-153.4447573,165,0,0,0.7,0.73,0.29,1485,0,A,TSIPOURA 2015,,Unchecked,,0,0,15.27,0,0,0,0,2,620,1.531999012,2.888155598,443,150-200,150-200
1397556000018,REGION1,SITE2,119_A7,119_TS_0613_105,TSIPOURA,6.43,7.13,CHILIADOU,,2013,December,3/31/2014,4/30/2014,169.84,190.38,190.92,-0.28,170.34,169.84,"SILVERLINE 5,0 mm",SILVER LINE,FEEDUS,1760,0,0,46847,7956.49448,46372,8828.30136,0,0,0,871.80688,-57.488,2.018795722,-30.61508489,475,0,0,0.7,0.74,0.38,1600,0,A,TSIPOURA 2014,,Unchecked,,0,0,15.27,0,0,0,0,2,1930,3.99569376,2.498716157,458,150-200,150-200
