"","Middle","Region","Site","Unit","Batch","Species","Start.Fish.Density","End.Fish.Density","Hatchery","Lot.Quality","Origin.Year","Origin.Month","From","To","Start.Av..Wt.","End.Av.Wt.","Model.End.Av..Wt..Act..Feed","Av..Wt..Deviation....","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Sugg..Feed","Actual.Feed","Feed.Category","Supplier","Period.Feed.Qty","Model.Feed.Qty","Feed.Deviation....","Opening.Fish.No","Opening.Biomass","Closing.Fish.No","Closing.Biomass","Harvest.Biomass","Transfer....Kg.","Transfer....Kg..1","Biomass.Produced","Biomass.Produced.Before.Sampl.","Econ..FCR.Period","Econ.FCR.Period.Before.Sampl.","Mortality.No","Model.Mortality.No","Mortality.Deviation....","SFR.Period....","SFR.Period.....Before.Sampl.","SGR.Period....","Max.Feed.Qty","Food.Price","Current.Grading","Feeding.Policy","Group.Tag","Vaccinated","Feeder","Feeding.Rate..Kg...Hour.","Fastings.No","Avg..Temp.","Avg..Oxygene","Transfer....No.","Transfer....No..1","Harvest..No.","Sampling..No.","LTD.Mortality.No","LTD.Mortality..","LTD.Econ..FCR","Period.Day.Degrees","Start.Av..Weight.Category","End.Av..Weight.Category","PRODUCT.TYPE","GROUPING.PROD..BGT"
"151",251443952800001,"GREECE","PETALAS","PED324","BAS11102014VMS","BASS",4.41,4.75,"VONITSA","",2014,"October","30/09/15","08/10/15",211,227.15,223.17,1.78,221.24,224.62,"GR IR. PLUS 4,5 V","PLUS","IRIDA",4650,5206.252113,10.68,209137,44127.907,208947,47462.31105,0,0,0,3334.40405,2099.52728,1.394552049,2.214784273,275,360,23.61,1.27,1.29,0.92,4650,1.14,"","GR BASS SMOOTHLY","","Unchecked",NA,0,1,25.2,0,0,0,0,2,29378,13.91003788,1.566224001,227,"A 1-300","A 1-300",NA,NA
"152",2.61417086e+14,"GREECE","PETALAS","PEZ12","BAS11112014VMS","BASS",1.71,3.39,"VONITSA","",2014,"November","11/11/14","13/12/14",25.56,27.57,29.63,-6.95,29.03,44.88,"GR IR. POW. 2","POWER","IRIDA",654.5,3125.167093,79.06,66900,1709.964,122935,3389.31795,0,0,1444.548,234.80595,414.29105,2.78740807,1.579807239,3265,1264,-158.31,5.96,3.63,0.24,654.5,1.611,"","GR BASS SMOOTHLY","","Unchecked",NA,0,5,20.11,0,0,1,0,1,3145,2.49207607,2.746925867,665,"A 1-300","A 1-300",NA,NA
"153",261422097200000,"GREECE","PETALAS","PEZ12","BAS11112014VMS","BASS",3.39,4.81,"VONITSA","",2014,"November","13/12/14","07/03/15",27.57,40,40.9,-2.2,39.19,56.25,"GR IR. POW. 2","POWER","IRIDA",2845,6036.547434,52.87,122935,3389.31795,120270,4810.8,0,0,0,1421.48205,1324.06335,2.001432238,2.148688732,2785,3100,10.16,0.83,0.84,0.44,2365,1.6,"","GR BASS SMOOTHLY","","Unchecked",NA,0,15,16.44,0,0,0,0,2,5930,4.69889065,2.112663302,1404,"A 1-300","A 1-300",NA,NA
"154",2.61428705e+14,"GREECE","PETALAS","PEZ12","BAS11112014VMS","BASS",4.81,6.35,"VONITSA","",2014,"November","07/03/15","15/05/15",40,53.9,54.81,-1.66,55.81,61.17,"GR IR. SMART 3","SMART","IRIDA",3342.5,4783.525812,30.12,120270,4810.8,117734,6345.8626,0,0,0,1535.0626,1759.93454,2.17743563,1.899218365,2735,2461,-11.13,0.87,0.86,0.43,2828.5,1.246,"","GR BASS SMOOTHLY","","Unchecked",NA,0,6,15.71,0,0,0,0,2,8465,6.707606973,2.121101202,1110,"A 1-300","A 1-300",NA,NA
"155",261433368800001,"GREECE","PETALAS","PEZ12","BAS11112014VMS","BASS",6.35,8.46,"VONITSA","",2014,"November","15/05/15","23/06/15",53.9,73.42,76.96,-4.6,78.35,84.35,"GR IR. SMART 3","SMART","IRIDA",3903,5213.112271,25.13,117734,6345.8626,115279,8463.78418,0,0,0,2117.92158,2686.24705,1.842844436,1.452956458,1205,1394,13.56,1.36,1.32,0.79,3903,1.252,"","GR BASS SMOOTHLY","","Unchecked",NA,0,4,20.04,0,0,0,0,2,9670,7.662440571,2.010104983,807,"A 1-300","A 1-300",NA,NA
"156",2.6143514e+14,"GREECE","PETALAS","PEZ12","BAS11112014VMS","BASS",8.46,9.29,"VONITSA","",2014,"November","23/06/15","25/06/15",73.42,76.47,73.98,3.37,74.06,75.8,"GR IR. SMART 3","SMART","IRIDA",100,411.2614667,75.68,115279,8463.78418,121540,9294.1638,0,0,0,830.37962,537.46822,0.120426848,0.186057512,110,103,-6.8,0.56,0.57,2.04,100,1.252,"","GR BASS SMOOTHLY","","Unchecked",NA,0,2,20.13,0,0,0,0,2,9730,7.709984152,1.754534892,61,"A 1-300","A 1-300",NA,NA
"157",2.61436868e+14,"GREECE","PETALAS","PEG08","BAS11112014VMS","BASS",3.5,3.78,"VONITSA","",2014,"November","06/07/15","22/07/15",81.25,88.58,91.41,-3.1,92.19,97.52,"GR IR. PLUS 4,5 V","PLUS","IRIDA",1862.5,3002.035678,37.96,120710,9807.6875,119630,10596.8254,0,0,0,789.1379,1221.0022,2.36017051,1.525386277,410,611,32.9,1.14,1.12,0.54,1087.5,1.139,"","GR BASS SMOOTHLY","","Unchecked",NA,0,4,24.09,0,0,1,0,1,10970,8.692551506,1.813224106,410,"A 1-300","A 1-300",NA,NA
"158",261440583200000,"GREECE","PETALAS","PEG08","BAS11112014VMS","BASS",3.78,6.9,"VONITSA","",2014,"November","22/07/15","30/09/15",88.58,165.77,156.96,5.61,159.19,173.17,"GR IR. PLUS 4,5 V","PLUS","IRIDA",13350,16683.21343,19.98,119630,10596.8254,116610,19330.4397,0,0,0,8733.6143,7966.3205,1.528576777,1.675805034,930,2484,62.56,1.31,1.34,0.9,13100,1.14,"","GR BASS SMOOTHLY","","Unchecked",NA,0,13,26.64,0,0,0,0,2,11785,9.338351823,1.642309577,1902,"A 1-300","A 1-300",NA,NA
"159",271414967400000,"GREECE","PETALAS","PEZV11","BAS13092014VML","BASS",1.78,6.16,"VONITSA","",2014,"September","23/09/14","13/12/14",15.26,53.94,53.53,0.77,55.07,69.6,"GR IR. SMART 3","SMART","IRIDA",5720.5,8330.94071,31.33,116560,1778.7056,114210,6160.4874,0,0,0,4381.7818,4510.8391,1.305519138,1.268167601,2300,2977,22.74,2,1.98,1.56,2900,1.226,"","GR BASS SMOOTHLY","","Unchecked",NA,0,3,21.62,0,0,1,0,1,2500,2.138579983,1.309228487,1782,"A 1-300","A 1-300",NA,NA
"160",271431426600000,"GREECE","PETALAS","PEG18","BAS13092014VML","BASS",3.55,7.64,"VONITSA","",2014,"September","10/03/15","14/07/15",79.9,174.96,155.85,12.26,161.19,164.68,"GR AGR 02  (5 mm)","OPTIMA","AGROINVEST",16707.5,18650.5949,10.42,124460,9944.354,122279,21393.93384,0,0,0,11449.57984,9765.79801,1.459223852,1.710817691,2180,4636,52.98,0.89,0.93,0.62,11187.5,1.11,"BIG","GR BASS SMOOTHLY","","Unchecked",NA,0,14,17.98,0,0,1,0,1,9172.18,7.843075889,1.347200193,2298,"A 1-300","A 1-300",NA,NA
