 0 ; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10 ; 11 ; 12 ; 13 ; 14 ; 15 ; 16 ; 17 ; 18 ; 19 ; 20 ; 21 ; 22 ; 23 ; 24 ; 25 ; 26 ; 27 ; 28 ; 29 ; 30 ; 31 ; 32 ; 33 ; 34 ; 35 ;;;;
2.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.41;1.41;1.41;1.46;1.43;1.41;1.41;1.41;1.41;1.41;1.41;1.41;1.41;1.41;1.41;1.41;1.41;1.41;0.00;0.00;0.00;;;;
20.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.58;1.58;1.58;1.58;1.67;1.91;1.89;1.77;1.58;1.58;1.58;1.58;1.58;1.58;1.58;1.58;1.58;1.58;0.00;0.00;0.00;;;;
30.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.68;1.68;1.68;1.68;1.81;1.81;1.68;2.03;1.68;1.68;1.68;1.68;1.68;1.68;1.78;1.68;1.71;1.68;0.00;0.00;0.00;;;;
40.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.76;1.76;1.76;1.76;1.76;1.76;1.76;1.76;1.76;1.76;1.76;1.76;1.76;1.76;1.76;1.76;1.83;1.76;0.00;0.00;0.00;;;;
50.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;1.84;0.00;0.00;0.00;;;;
60.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.89;1.89;1.89;1.89;1.89;1.89;1.89;1.89;1.89;1.89;1.89;1.89;1.89;1.89;1.92;1.89;1.89;1.89;0.00;0.00;0.00;;;;
70.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.94;1.94;1.94;1.94;1.94;1.94;1.94;1.94;1.94;1.94;1.94;1.94;2.05;2.05;1.94;1.94;1.94;1.94;0.00;0.00;0.00;;;;
80.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;2.00;0.00;0.00;0.00;;;;
90.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;2.04;0.00;0.00;0.00;;;;
100.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.13;2.10;2.07;2.07;0.00;0.00;0.00;;;;
110.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.11;2.11;2.11;2.11;2.11;2.11;2.11;2.11;2.11;2.11;2.11;2.11;2.11;2.11;2.38;2.24;2.11;2.11;0.00;0.00;0.00;;;;
120.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.14;2.14;2.14;2.14;2.14;2.14;2.14;2.14;2.14;2.14;2.14;2.14;2.14;2.14;2.41;2.27;2.14;2.14;0.00;0.00;0.00;;;;
130.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.17;2.17;2.17;2.17;2.17;2.17;2.17;2.17;2.17;2.17;2.17;2.17;2.17;2.49;2.22;2.25;2.17;2.17;0.00;0.00;0.00;;;;
140.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.21;2.21;2.21;2.21;2.22;2.21;2.21;2.21;2.21;2.21;2.21;2.21;2.42;2.38;2.21;2.24;2.21;2.21;0.00;0.00;0.00;;;;
150.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.23;2.23;2.23;2.26;2.28;2.23;2.23;2.23;2.23;2.23;2.43;2.41;2.23;2.25;2.24;2.24;2.23;2.23;0.00;0.00;0.00;;;;
160.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.26;2.26;2.26;2.26;2.27;2.26;2.26;2.26;2.26;2.26;2.35;2.59;2.26;2.26;2.26;2.27;2.26;2.26;0.00;0.00;0.00;;;;
170.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.28;2.28;2.28;2.28;2.28;2.28;2.28;2.28;2.28;2.28;2.28;2.38;2.28;2.28;2.28;2.32;2.28;2.28;0.00;0.00;0.00;;;;
180.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.30;2.30;2.30;2.30;2.30;2.32;2.30;2.30;2.30;2.30;2.30;2.37;2.40;2.30;2.30;2.33;2.30;2.30;0.00;0.00;0.00;;;;
190.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.32;2.32;2.32;2.32;2.32;2.32;2.32;2.32;2.32;2.32;2.32;2.32;2.36;2.33;2.32;2.34;2.32;2.32;0.00;0.00;0.00;;;;
200.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.35;2.45;2.35;2.35;2.35;0.00;0.00;0.00;;;;
210.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.37;2.37;2.37;2.37;2.37;2.37;2.38;2.37;2.37;2.37;2.37;2.37;2.37;2.37;2.37;2.37;2.37;2.37;0.00;0.00;0.00;;;;
220.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.39;2.39;2.39;2.39;2.46;2.39;2.42;2.42;2.39;2.39;2.39;2.39;2.39;2.39;2.39;2.41;2.39;2.39;0.00;0.00;0.00;;;;
230.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.40;2.40;2.40;2.40;2.47;2.40;2.40;2.40;2.40;2.40;2.40;2.40;2.40;2.40;2.40;2.41;2.40;2.40;0.00;0.00;0.00;;;;
240.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.43;2.43;2.43;2.43;2.43;2.43;2.43;2.43;2.43;2.43;2.43;2.43;2.43;2.43;2.43;2.45;2.43;2.43;0.00;0.00;0.00;;;;
250.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;2.45;0.00;0.00;0.00;;;;
260.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.47;2.47;2.47;2.47;2.47;2.47;2.47;2.47;2.47;2.47;2.52;2.48;2.47;2.47;2.53;2.47;2.47;2.47;0.00;0.00;0.00;;;;
270.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.48;2.48;2.48;2.48;2.48;2.48;2.48;2.55;2.48;2.48;2.62;2.56;2.49;2.48;2.54;2.48;2.48;2.48;0.00;0.00;0.00;;;;
280.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.50;2.50;2.50;2.50;2.50;2.50;2.50;2.50;2.52;2.50;2.61;2.60;2.50;2.52;2.62;2.50;2.50;2.50;0.00;0.00;0.00;;;;
290.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.51;2.51;2.51;2.51;2.51;2.51;2.51;2.51;2.51;2.51;2.62;2.65;2.59;2.56;2.54;2.51;2.51;2.51;0.00;0.00;0.00;;;;
