0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
70.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.447;4.391;4.336;3.812;3.289;2.553;2.086;1.699;1.630;1.569;1.515;1.502;1.489;1.482;1.476;1.462;1.449;1.436;1.450;1.459;1.469;0.000;0.000;0.000;0.000;0.000
75.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.447;4.391;4.336;3.805;3.275;2.570;2.102;1.714;1.644;1.583;1.528;1.515;1.502;1.496;1.489;1.476;1.463;1.450;1.495;1.528;1.561;0.000;0.000;0.000;0.000;0.000
80.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.447;4.391;4.336;3.798;3.260;2.587;2.118;1.729;1.659;1.597;1.542;1.529;1.516;1.509;1.503;1.489;1.476;1.463;1.540;1.596;1.653;0.000;0.000;0.000;0.000;0.000
85.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.447;4.391;4.336;3.791;3.245;2.604;2.134;1.744;1.673;1.611;1.555;1.542;1.529;1.523;1.516;1.503;1.490;1.477;1.585;1.665;1.745;0.000;0.000;0.000;0.000;0.000
90.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.447;4.391;4.336;3.783;3.231;2.620;2.150;1.759;1.688;1.625;1.569;1.556;1.543;1.536;1.529;1.516;1.503;1.490;1.629;1.733;1.838;0.000;0.000;0.000;0.000;0.000
95.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.447;4.391;4.336;3.776;3.216;2.637;2.166;1.775;1.702;1.639;1.582;1.569;1.556;1.550;1.543;1.530;1.517;1.504;1.674;1.802;1.930;0.000;0.000;0.000;0.000;0.000
100.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.929;-3.535;-4.141;-6.141;3.202;2.654;2.182;1.790;1.717;1.653;1.596;1.583;1.570;1.563;1.556;1.543;1.530;1.517;1.719;1.871;2.022;0.000;0.000;0.000;0.000;0.000
110.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.909;-3.485;-4.060;-6.060;3.236;2.679;2.205;1.812;1.738;1.673;1.616;1.603;1.590;1.583;1.577;1.563;1.550;1.537;1.739;1.891;2.042;0.000;0.000;0.000;0.000;0.000
120.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.889;-3.434;-3.979;-5.979;3.270;2.704;2.229;1.835;1.760;1.694;1.636;1.623;1.610;1.603;1.597;1.584;1.571;1.557;1.759;1.911;2.062;0.000;0.000;0.000;0.000;0.000
130.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.868;-3.384;-3.899;-5.899;3.305;2.729;2.253;1.858;1.782;1.715;1.656;1.643;1.630;1.624;1.617;1.604;1.591;1.578;1.780;1.931;2.083;0.000;0.000;0.000;0.000;0.000
140.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.848;-3.333;-3.818;-5.818;3.339;2.754;2.277;1.880;1.804;1.736;1.677;1.663;1.650;1.644;1.637;1.624;1.611;1.598;1.800;1.951;2.103;0.000;0.000;0.000;0.000;0.000
150.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.828;-3.283;-3.737;-5.737;3.373;2.779;2.300;1.903;1.825;1.757;1.697;1.684;1.671;1.664;1.657;1.644;1.631;1.618;1.820;1.972;2.123;0.000;0.000;0.000;0.000;0.000
160.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.808;-3.232;-3.656;-5.656;3.408;2.809;2.329;1.930;1.851;1.782;1.721;1.708;1.695;1.688;1.682;1.669;1.655;1.642;1.844;1.996;2.147;0.000;0.000;0.000;0.000;0.000
170.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.788;-3.182;-3.575;-5.575;3.442;2.839;2.358;1.957;1.878;1.807;1.745;1.732;1.719;1.712;1.706;1.693;1.680;1.667;1.869;2.020;2.172;0.000;0.000;0.000;0.000;0.000
180.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.767;-3.131;-3.495;-5.495;3.476;2.869;2.386;1.984;1.904;1.832;1.770;1.756;1.743;1.737;1.730;1.717;1.704;1.691;1.893;2.044;2.196;0.000;0.000;0.000;0.000;0.000
190.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.747;-3.081;-3.414;-5.414;3.511;2.899;2.415;2.012;1.930;1.858;1.794;1.781;1.768;1.761;1.754;1.741;1.728;1.715;1.917;2.068;2.220;0.000;0.000;0.000;0.000;0.000
200.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.727;-3.030;-3.333;-5.333;3.545;2.930;2.443;2.039;1.956;1.883;1.818;1.805;1.792;1.785;1.779;1.765;1.752;1.739;1.941;2.093;2.244;0.000;0.000;0.000;0.000;0.000
210.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.707;-2.980;-3.252;-5.252;3.579;2.950;2.462;2.057;1.973;1.899;1.834;1.821;1.808;1.801;1.795;1.782;1.769;1.755;1.957;2.109;2.260;0.000;0.000;0.000;0.000;0.000
220.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.687;-2.929;-3.171;-5.171;3.614;2.970;2.481;2.075;1.990;1.916;1.850;1.837;1.824;1.817;1.811;1.798;1.785;1.772;1.974;2.125;2.277;0.000;0.000;0.000;0.000;0.000
230.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.666;-2.879;-3.091;-5.091;3.648;2.990;2.500;2.093;2.008;1.933;1.866;1.853;1.840;1.834;1.827;1.814;1.801;1.788;1.990;2.141;2.293;0.000;0.000;0.000;0.000;0.000
240.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.646;-2.828;-3.010;-5.010;3.682;3.010;2.519;2.111;2.025;1.950;1.883;1.870;1.856;1.850;1.843;1.830;1.817;1.804;2.006;2.157;2.309;0.000;0.000;0.000;0.000;0.000
250.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.626;-2.778;-2.929;-4.929;3.717;3.030;2.538;2.129;2.043;1.966;1.899;1.886;1.873;1.866;1.859;1.846;1.833;1.820;2.022;2.174;2.325;0.000;0.000;0.000;0.000;0.000
260.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.606;-2.747;-2.889;-4.889;3.751;3.052;2.560;2.150;2.062;1.985;1.917;1.904;1.891;1.884;1.878;1.864;1.851;1.838;2.040;2.192;2.343;0.000;0.000;0.000;0.000;0.000
270.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.586;-2.717;-2.848;-4.848;3.785;3.075;2.581;2.170;2.082;2.004;1.935;1.922;1.909;1.902;1.896;1.883;1.870;1.856;2.058;2.210;2.361;0.000;0.000;0.000;0.000;0.000
280.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.565;-2.687;-2.808;-4.808;3.820;3.098;2.602;2.191;2.101;2.023;1.953;1.940;1.927;1.921;1.914;1.901;1.888;1.875;2.077;2.228;2.380;0.000;0.000;0.000;0.000;0.000
290.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.545;-2.656;-2.767;-4.767;3.854;3.120;2.624;2.211;2.121;2.042;1.972;1.958;1.945;1.939;1.932;1.919;1.906;1.893;2.095;2.246;2.398;0.000;0.000;0.000;0.000;0.000
300.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.525;-2.626;-2.727;-4.727;3.889;3.143;2.645;2.231;2.140;2.060;1.990;1.977;1.963;1.957;1.950;1.937;1.924;1.911;2.113;2.264;2.416;0.000;0.000;0.000;0.000;0.000
310.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.505;-2.596;-2.687;-3.384;-4.242;3.161;2.676;2.261;2.169;2.088;2.016;2.003;1.990;1.983;1.977;1.963;1.950;1.937;2.139;2.291;2.442;0.000;0.000;0.000;0.000;0.000
320.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.485;-2.565;-2.646;-3.384;-4.242;3.178;2.707;2.290;2.197;2.115;2.042;2.029;2.016;2.009;2.003;1.990;1.977;1.963;2.165;2.317;2.468;0.000;0.000;0.000;0.000;0.000
330.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.464;-2.535;-2.606;-3.384;-4.242;3.196;2.738;2.320;2.225;2.142;2.068;2.055;2.042;2.036;2.029;2.016;2.003;1.990;2.192;2.343;2.495;0.000;0.000;0.000;0.000;0.000
340.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.444;-2.505;-2.565;-3.384;-4.242;3.214;2.769;2.349;2.253;2.169;2.095;2.082;2.068;2.062;2.055;2.042;2.029;2.016;2.218;2.369;2.521;0.000;0.000;0.000;0.000;0.000
350.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.424;-2.475;-2.525;-3.384;-4.242;3.232;2.800;2.379;2.282;2.196;2.121;2.108;2.095;2.088;2.082;2.068;2.055;2.042;2.244;2.396;2.547;0.000;0.000;0.000;0.000;0.000
360.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.404;-2.454;-2.505;-3.303;-4.101;-6.060;2.840;2.417;2.319;2.232;2.155;2.142;2.129;2.123;2.116;2.103;2.090;2.077;2.279;2.430;2.582;0.000;0.000;0.000;0.000;0.000
370.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.384;-2.434;-2.485;-3.222;-3.959;-6.060;2.881;2.456;2.356;2.268;2.190;2.177;2.163;2.157;2.150;2.137;2.124;2.111;2.313;2.464;2.616;0.000;0.000;0.000;0.000;0.000
380.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.363;-2.414;-2.464;-3.141;-3.818;-6.060;2.921;2.494;2.393;2.303;2.224;2.211;2.198;2.191;2.185;2.172;2.158;2.145;2.347;2.499;2.650;0.000;0.000;0.000;0.000;0.000
390.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-2.343;-2.394;-2.444;-3.060;-3.676;-6.060;2.961;2.533;2.429;2.339;2.258;2.245;2.232;2.226;2.219;2.206;2.193;2.180;2.382;2.533;2.685;0.000;0.000;0.000;0.000;0.000
